from_source,from_bdy,from_id,from_name,to_source,to_bdy,to_id,to_name,address_count,address_percent
abs 2016,poa,POA3043,3043,abs 2016,lga,LGA21180,Brimbank (C),771,7.14153390144498
abs 2016,poa,POA3043,3043,abs 2016,lga,LGA23270,Hume (C),8698,80.56687662097073
abs 2016,poa,POA3044,3044,abs 2016,lga,LGA25250,Moreland (C),14775,100
abs 2016,poa,POA3045,3045,abs 2016,lga,LGA23270,Hume (C),381,100
abs 2016,poa,POA3046,3046,abs 2016,lga,LGA25250,Moreland (C),19254,100
abs 2016,poa,POA3047,3047,abs 2016,lga,LGA23270,Hume (C),10440,100
abs 2016,poa,POA3048,3048,abs 2016,lga,LGA23270,Hume (C),7549,100
abs 2016,poa,POA3049,3049,abs 2016,lga,LGA23270,Hume (C),4776,100
abs 2016,poa,POA3050,3050,abs 2016,lga,LGA24600,Melbourne (C),97,100
abs 2016,poa,POA3051,3051,abs 2016,lga,LGA24600,Melbourne (C),13548,100
abs 2016,poa,POA3052,3052,abs 2016,lga,LGA24600,Melbourne (C),4195,100
abs 2016,poa,POA3053,3053,abs 2016,lga,LGA24600,Melbourne (C),17864,100
abs 2016,poa,POA3054,3054,abs 2016,lga,LGA24600,Melbourne (C),10,0.20781379883624274
abs 2016,poa,POA3054,3054,abs 2016,lga,LGA27350,Yarra (C),4802,99.79218620116376
abs 2016,poa,POA3055,3055,abs 2016,lga,LGA25250,Moreland (C),9345,100
abs 2016,poa,POA3056,3056,abs 2016,lga,LGA25250,Moreland (C),16691,100
abs 2016,poa,POA3057,3057,abs 2016,lga,LGA25250,Moreland (C),9192,100
abs 2016,poa,POA3058,3058,abs 2016,lga,LGA25250,Moreland (C),19658,100
abs 2016,poa,POA3059,3059,abs 2016,lga,LGA23270,Hume (C),9153,100
abs 2016,poa,POA3060,3060,abs 2016,lga,LGA25250,Moreland (C),6334,97.64143671959303
abs 2016,poa,POA3060,3060,abs 2016,lga,LGA23270,Hume (C),153,2.3585632804069676
abs 2016,poa,POA3061,3061,abs 2016,lga,LGA23270,Hume (C),6197,100
abs 2016,poa,POA3062,3062,abs 2016,lga,LGA23270,Hume (C),725,100
abs 2016,poa,POA3063,3063,abs 2016,lga,LGA23270,Hume (C),251,100
abs 2016,poa,POA3064,3064,abs 2016,lga,LGA23270,Hume (C),44844,96.64030342865763
abs 2016,poa,POA3064,3064,abs 2016,lga,LGA27070,Whittlesea (C),1559,3.3596965713423703
abs 2016,poa,POA3065,3065,abs 2016,lga,LGA27350,Yarra (C),8647,100
abs 2016,poa,POA3066,3066,abs 2016,lga,LGA27350,Yarra (C),8324,100
abs 2016,poa,POA3067,3067,abs 2016,lga,LGA27350,Yarra (C),7558,100
abs 2016,poa,POA3068,3068,abs 2016,lga,LGA27350,Yarra (C),10731,95.94099240053643
abs 2016,poa,POA3068,3068,abs 2016,lga,LGA25250,Moreland (C),454,4.059007599463568
abs 2016,poa,POA3070,3070,abs 2016,lga,LGA21890,Darebin (C),14061,100
abs 2016,poa,POA3071,3071,abs 2016,lga,LGA21890,Darebin (C),11079,100
abs 2016,poa,POA3072,3072,abs 2016,lga,LGA21890,Darebin (C),20972,100
abs 2016,poa,POA3073,3073,abs 2016,lga,LGA21890,Darebin (C),28266,100
abs 2016,poa,POA3074,3074,abs 2016,lga,LGA27070,Whittlesea (C),11940,100
abs 2016,poa,POA3075,3075,abs 2016,lga,LGA27070,Whittlesea (C),9839,100
abs 2016,poa,POA3076,3076,abs 2016,lga,LGA27070,Whittlesea (C),16066,100
abs 2016,poa,POA3078,3078,abs 2016,lga,LGA27350,Yarra (C),2082,27.852842809364546
abs 2016,poa,POA3078,3078,abs 2016,lga,LGA21890,Darebin (C),5393,72.14715719063545
abs 2016,poa,POA3079,3079,abs 2016,lga,LGA20660,Banyule (C),10243,100
abs 2016,poa,POA3081,3081,abs 2016,lga,LGA20660,Banyule (C),9274,100
abs 2016,poa,POA3082,3082,abs 2016,lga,LGA27070,Whittlesea (C),12358,100
abs 2016,poa,POA3083,3083,abs 2016,lga,LGA27070,Whittlesea (C),6802,44.89176346356917
abs 2016,poa,POA3083,3083,abs 2016,lga,LGA21890,Darebin (C),3999,26.39255543822598
abs 2016,poa,POA3083,3083,abs 2016,lga,LGA20660,Banyule (C),4351,28.71568109820486
abs 2016,poa,POA3084,3084,abs 2016,lga,LGA20660,Banyule (C),13493,100
abs 2016,poa,POA3085,3085,abs 2016,lga,LGA21890,Darebin (C),1104,16.467780429594274
abs 2016,poa,POA3085,3085,abs 2016,lga,LGA20660,Banyule (C),5600,83.53221957040573
abs 2016,poa,POA3086,3086,abs 2016,lga,LGA21890,Darebin (C),298,100
abs 2016,poa,POA3087,3087,abs 2016,lga,LGA20660,Banyule (C),4268,100
abs 2016,poa,POA3088,3088,abs 2016,lga,LGA20660,Banyule (C),11053,83.76657824933686
abs 2016,poa,POA3088,3088,abs 2016,lga,LGA25710,Nillumbik (S),2142,16.23342175066313
abs 2016,poa,POA3089,3089,abs 2016,lga,LGA25710,Nillumbik (S),5326,100
abs 2016,poa,POA3090,3090,abs 2016,lga,LGA25710,Nillumbik (S),1055,100
abs 2016,poa,POA3091,3091,abs 2016,lga,LGA25710,Nillumbik (S),630,100
abs 2016,poa,POA3093,3093,abs 2016,lga,LGA20660,Banyule (C),1918,100
abs 2016,poa,POA3094,3094,abs 2016,lga,LGA20660,Banyule (C),4657,100
abs 2016,poa,POA3095,3095,abs 2016,lga,LGA20660,Banyule (C),844,6.8004189831601005
abs 2016,poa,POA3095,3095,abs 2016,lga,LGA25710,Nillumbik (S),11567,93.1995810168399
abs 2016,poa,POA3096,3096,abs 2016,lga,LGA25710,Nillumbik (S),694,100
abs 2016,poa,POA3097,3097,abs 2016,lga,LGA25710,Nillumbik (S),682,100
abs 2016,poa,POA3099,3099,abs 2016,lga,LGA25710,Nillumbik (S),2256,100
abs 2016,poa,POA3101,3101,abs 2016,lga,LGA21110,Boroondara (C),13388,100
abs 2016,poa,POA3102,3102,abs 2016,lga,LGA21110,Boroondara (C),3394,100
abs 2016,poa,POA3103,3103,abs 2016,lga,LGA21110,Boroondara (C),8656,100
abs 2016,poa,POA3104,3104,abs 2016,lga,LGA21110,Boroondara (C),9149,98.897416495514
